"match_id","group","stage","match_date","kickoff","team_code","team_name","current_city","current_stadium","previous_match_id","previous_match_date","previous_city","previous_stadium","rest_days","moved_city","is_final_group_round","schedule_pressure_level","schedule_pressure_reason","source"
"9","Group B","Matchday 8","2026-06-18","12:00 UTC-7","SUI","Switzerland","Los Angeles","Los Angeles Stadium","8","2026-06-13","San Francisco Bay Area","San Francisco Bay Area Stadium","5","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"9","Group B","Matchday 8","2026-06-18","12:00 UTC-7","BIH","Bosnia and Herzegovina","Los Angeles","Los Angeles Stadium","7","2026-06-12","Toronto","Toronto Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"10","Group B","Matchday 8","2026-06-18","15:00 UTC-7","CAN","Canada","Vancouver","BC Place Vancouver","7","2026-06-12","Toronto","Toronto Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"10","Group B","Matchday 8","2026-06-18","15:00 UTC-7","QAT","Qatar","Vancouver","BC Place Vancouver","8","2026-06-13","San Francisco Bay Area","San Francisco Bay Area Stadium","5","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"15","Group C","Matchday 9","2026-06-19","18:00 UTC-4","SCO","Scotland","Boston","Boston Stadium","14","2026-06-13","Boston","Boston Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"15","Group C","Matchday 9","2026-06-19","18:00 UTC-4","MAR","Morocco","Boston","Boston Stadium","13","2026-06-13","New York/New Jersey","New York New Jersey Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"16","Group C","Matchday 9","2026-06-19","21:00 UTC-4","BRA","Brazil","Philadelphia","Philadelphia Stadium","13","2026-06-13","New York/New Jersey","New York New Jersey Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"16","Group C","Matchday 9","2026-06-19","21:00 UTC-4","HAI","Haiti","Philadelphia","Philadelphia Stadium","14","2026-06-13","Boston","Boston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"21","Group D","Matchday 9","2026-06-19","12:00 UTC-7","USA","United States","Seattle","Seattle Stadium","19","2026-06-12","Los Angeles","Los Angeles Stadium","7","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"21","Group D","Matchday 9","2026-06-19","12:00 UTC-7","AUS","Australia","Seattle","Seattle Stadium","20","2026-06-13","Vancouver","BC Place Vancouver","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"22","Group D","Matchday 9","2026-06-19","21:00 UTC-7","TUR","Turkey","San Francisco Bay Area","San Francisco Bay Area Stadium","20","2026-06-13","Vancouver","BC Place Vancouver","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"22","Group D","Matchday 9","2026-06-19","21:00 UTC-7","PAR","Paraguay","San Francisco Bay Area","San Francisco Bay Area Stadium","19","2026-06-12","Los Angeles","Los Angeles Stadium","7","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"27","Group E","Matchday 10","2026-06-20","16:00 UTC-4","GER","Germany","Toronto","Toronto Stadium","25","2026-06-14","Houston","Houston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"27","Group E","Matchday 10","2026-06-20","16:00 UTC-4","CIV","Ivory Coast","Toronto","Toronto Stadium","26","2026-06-14","Philadelphia","Philadelphia Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"28","Group E","Matchday 10","2026-06-20","19:00 UTC-5","ECU","Ecuador","Kansas City","Kansas City Stadium","26","2026-06-14","Philadelphia","Philadelphia Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"28","Group E","Matchday 10","2026-06-20","19:00 UTC-5","CUW","Curaçao","Kansas City","Kansas City Stadium","25","2026-06-14","Houston","Houston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"33","Group F","Matchday 10","2026-06-20","12:00 UTC-5","NED","Netherlands","Houston","Houston Stadium","31","2026-06-14","Dallas","Dallas Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"33","Group F","Matchday 10","2026-06-20","12:00 UTC-5","SWE","Sweden","Houston","Houston Stadium","32","2026-06-14","Monterrey","Estadio Monterrey","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"34","Group F","Matchday 10","2026-06-20","22:00 UTC-6","TUN","Tunisia","Monterrey","Estadio Monterrey","32","2026-06-14","Monterrey","Estadio Monterrey","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"34","Group F","Matchday 10","2026-06-20","22:00 UTC-6","JPN","Japan","Monterrey","Estadio Monterrey","31","2026-06-14","Dallas","Dallas Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"39","Group G","Matchday 11","2026-06-21","12:00 UTC-7","BEL","Belgium","Los Angeles","Los Angeles Stadium","37","2026-06-15","Seattle","Seattle Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"39","Group G","Matchday 11","2026-06-21","12:00 UTC-7","IRN","Iran","Los Angeles","Los Angeles Stadium","38","2026-06-15","Los Angeles","Los Angeles Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"40","Group G","Matchday 11","2026-06-21","18:00 UTC-7","NZL","New Zealand","Vancouver","BC Place Vancouver","38","2026-06-15","Los Angeles","Los Angeles Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"40","Group G","Matchday 11","2026-06-21","18:00 UTC-7","EGY","Egypt","Vancouver","BC Place Vancouver","37","2026-06-15","Seattle","Seattle Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"45","Group H","Matchday 11","2026-06-21","12:00 UTC-4","ESP","Spain","Atlanta","Atlanta Stadium","43","2026-06-15","Atlanta","Atlanta Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"45","Group H","Matchday 11","2026-06-21","12:00 UTC-4","KSA","Saudi Arabia","Atlanta","Atlanta Stadium","44","2026-06-15","Miami","Miami Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"46","Group H","Matchday 11","2026-06-21","18:00 UTC-4","URU","Uruguay","Miami","Miami Stadium","44","2026-06-15","Miami","Miami Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"46","Group H","Matchday 11","2026-06-21","18:00 UTC-4","CPV","Cape Verde","Miami","Miami Stadium","43","2026-06-15","Atlanta","Atlanta Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"51","Group I","Matchday 12","2026-06-22","17:00 UTC-4","FRA","France","Philadelphia","Philadelphia Stadium","49","2026-06-16","New York/New Jersey","New York New Jersey Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"51","Group I","Matchday 12","2026-06-22","17:00 UTC-4","IRQ","Iraq","Philadelphia","Philadelphia Stadium","50","2026-06-16","Boston","Boston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"52","Group I","Matchday 12","2026-06-22","20:00 UTC-4","NOR","Norway","New York/New Jersey","New York New Jersey Stadium","50","2026-06-16","Boston","Boston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"52","Group I","Matchday 12","2026-06-22","20:00 UTC-4","SEN","Senegal","New York/New Jersey","New York New Jersey Stadium","49","2026-06-16","New York/New Jersey","New York New Jersey Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"57","Group J","Matchday 12","2026-06-22","12:00 UTC-5","ARG","Argentina","Dallas","Dallas Stadium","55","2026-06-16","Kansas City","Kansas City Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"57","Group J","Matchday 12","2026-06-22","12:00 UTC-5","AUT","Austria","Dallas","Dallas Stadium","56","2026-06-16","San Francisco Bay Area","San Francisco Bay Area Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"58","Group J","Matchday 12","2026-06-22","20:00 UTC-7","JOR","Jordan","San Francisco Bay Area","San Francisco Bay Area Stadium","56","2026-06-16","San Francisco Bay Area","San Francisco Bay Area Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
